epoch,accuracy,loss,val_accuracy,val_loss
435,0.9997039437294006,0.001388078206218779,0.9998987913131714,0.00047177524538710713
436,0.9997115731239319,0.0014155147364363074,0.9999595284461975,0.00017047071014530957
437,0.9997343420982361,0.0010280412388965487,0.9997571110725403,0.000510040728840977
438,0.9997191429138184,0.0009826390305534005,0.9999089241027832,0.0004029442206956446
439,0.9997216463088989,0.0009438222041353583,0.9999493956565857,0.0003858983691316098
440,0.9997469782829285,0.0009040646255016327,0.999919056892395,0.0008677791920490563
441,0.9997242093086243,0.0010816213907673955,0.9999898672103882,6.664822285529226e-05
442,0.9997140765190125,0.0014211517991498113,0.9998684525489807,0.000773258158005774
443,0.9997520446777344,0.0012848839396610856,0.9999898672103882,0.00013565238623414189
444,0.9997166395187378,0.0010718066478148103,0.9999595284461975,0.00015138203161768615
445,0.9997773170471191,0.000965251587331295,0.9998684525489807,0.0009530636016279459
446,0.999739408493042,0.0012263896642252803,0.9997571110725403,0.001094839652068913
447,0.9997722506523132,0.0008903383859433234,0.9999493956565857,0.0007072355947457254
448,0.9997166395187378,0.0009730595047585666,0.9998684525489807,0.0008365636458620429
449,0.9997469782829285,0.0012584322830662131,0.9999696612358093,0.00011975887173321098
450,0.9997140765190125,0.0008928623283281922,0.999635636806488,0.006839432753622532
451,0.999739408493042,0.0010586529970169067,0.9998684525489807,0.0011309039546176791
